,CAS
0,329-71-5
1,92-94-4
2,2815-34-1
3,1314-85-8
4,124-47-0
5,507-70-0
6,74-94-2
7,58-72-0
8,91-57-6
9,2582-30-1
10,80-71-7
11,81-64-1
12,84-11-7
13,541-05-9
14,7235-40-7
15,86-57-7
16,96-91-3
17,8002-74-2
18,131-57-7
19,553-97-9
20,58-22-0
21,10387-40-3
22,520-45-6
23,273-53-0
24,594-82-1
25,30525-89-4
26,131-55-5
27,75-22-9
28,81-15-2
29,1948-33-0
30,127-41-3
31,7488-99-5
32,7439-95-4
33,27519-02-4
34,80-51-3
35,89-83-8
36,119-27-7
37,7440-33-7
38,2040-04-2
39,7439-89-6
40,831-52-7
41,538-68-1
42,136-35-6
43,565-00-4
44,947-42-2
45,606-23-5
46,7727-15-3
47,75-97-8
48,464-45-9
49,2997-92-4
50,79-92-5
51,17702-41-9
52,9004-70-0
53,2094-98-6
54,206-44-0
55,486-25-9
56,865-47-4
57,110-88-3
58,7439-96-5
59,5289-74-7
60,9002-91-9
61,91-20-3
62,573-56-8
63,111-02-4
64,505-23-7
65,93-89-0
66,7440-32-6
67,556-88-7
68,52-51-7
69,217-59-4
70,17924-92-4
71,51-28-5
72,80-17-1
73,61789-51-3
74,1344-40-7
75,836-30-6
76,131-56-6
77,719-22-2
78,2638-94-0
79,95-93-2
80,2592-95-2
81,9003-53-6
82,609-99-4
83,90-12-0
84,644-08-6
85,131-54-4
86,83-32-9
87,14901-07-6
88,555-31-7
89,7429-90-5
90,78-67-1
91,288-94-8
92,119-26-6
93,92-06-8
94,2825-82-3
95,100-97-0
96,2883-98-9
97,101-25-7
98,58-18-4
99,615-13-4
100,118-02-5
101,2177-47-1
102,488-10-8
103,83-33-0
104,1146-65-2
105,574-12-9
106,90-47-1
107,7723-14-0
108,7704-34-9
109,887-76-3
110,581-89-5
111,609-89-2
112,630-02-4
113,7440-21-3
114,1941-26-0
115,610-57-1
116,605-71-0
117,16051-77-7
118,16691-43-3
119,4045-44-7
120,3129-91-7
121,76-22-2
122,104-91-6
